employer_name,posting_url,location_state,location_city,employment_type,job_title,created_at,expiration_date,apply_start
Horizon Labs,https://app.joinhandshake.com/jobs/9166975,,,Part-Time,Front-end Developer Intern,2024-08-05T02:36:06.702-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
Manifest,https://app.joinhandshake.com/jobs/9014085,,,Full-Time,iOS Developer for Mental Health Support,2024-05-31T13:43:29.888-04:00,2024-09-30T06:00:00.000-04:00,2024-05-31T06:00:00.000-04:00
"Computer Packages, Inc.",https://app.joinhandshake.com/jobs/8833014,Maryland,Rockville,Full-Time,System Engineer,2024-03-27T11:15:31.406-04:00,2024-09-27T06:00:00.000-04:00,2024-03-27T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9214090,,,Full-Time,Quality Assurance Engineer Summer Internship – 2025 (US),2024-08-20T09:08:37.197-04:00,2025-03-31T06:00:00.000-04:00,2024-08-20T06:00:00.000-04:00
"CyberVillage Networkers, Inc.",https://app.joinhandshake.com/jobs/9155849,Maryland,Ellicott City,Full-Time,Web And Graphic Designer,2024-07-31T12:15:34.003-04:00,2025-01-31T06:00:00.000-05:00,2024-07-31T06:00:00.000-04:00
Palantir Technologies,https://app.joinhandshake.com/jobs/9084466,California,Palo Alto,Full-Time,"Software Engineer, Internship - Palo Alto",2024-07-01T20:21:06.201-04:00,2024-12-02T06:00:00.000-05:00,2024-07-01T06:00:00.000-04:00
"Google, Inc.",https://app.joinhandshake.com/jobs/9311337,California,San Francisco,Full-Time,"Customer Growth Associate, Google Customer Solutions (SF)",2024-09-17T17:14:27.652-04:00,2024-10-01T07:00:00.000-04:00,2024-09-17T07:00:00.000-04:00
think-cell Software GmbH,https://app.joinhandshake.com/jobs/8722667,,Berlin,Full-Time,C++ Internship (f/m/d),2024-02-23T07:11:45.147-05:00,2024-10-31T01:00:00.000-04:00,2024-02-23T00:00:00.000-05:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9210395,Texas,Dallas,Full-Time,.NET Developer,2024-08-19T11:30:05.744-04:00,2025-02-19T06:00:00.000-05:00,2024-08-19T06:00:00.000-04:00
Illumio,https://app.joinhandshake.com/jobs/9267636,California,Sunnyvale,Full-Time,Software Engineer ,2024-09-04T21:58:57.988-04:00,2025-01-31T09:00:00.000-05:00,2024-09-04T09:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/9020237,Indiana,Indianapolis,Full-Time,DevOps Engineer,2024-06-04T11:06:12.761-04:00,2024-12-04T09:00:00.000-05:00,2024-06-04T09:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9321143,,,Part-Time,"AI Trainer for Genetics (Freelance, Remote)",2024-09-20T10:23:08.544-04:00,2024-12-01T06:00:00.000-05:00,2024-09-20T06:00:00.000-04:00
"Blueera Technologies, Inc.",https://app.joinhandshake.com/jobs/8869688,Texas,Plano,Full-Time,Android Developer,2024-04-08T15:55:41.679-04:00,2024-10-08T09:00:00.000-04:00,2024-04-08T09:00:00.000-04:00
Horizon Labs,https://app.joinhandshake.com/jobs/9166974,,,Part-Time,Back-End Developer Intern,2024-08-05T02:32:20.746-04:00,2025-01-01T01:00:00.000-05:00,2024-08-05T01:00:00.000-04:00
"Google, Inc.",https://app.joinhandshake.com/jobs/9311606,Illinois,Chicago,Full-Time,"Account Manager Associate, Large Client Sales",2024-09-17T18:01:39.663-04:00,2024-10-01T07:00:00.000-04:00,2024-09-17T07:00:00.000-04:00
Alignerr,https://app.joinhandshake.com/jobs/9304677,,,Part-Time,"AI Trainer for Hindi Writers/Speakers (Freelance, Remote)",2024-09-16T12:44:57.237-04:00,2024-12-01T06:00:00.000-05:00,2024-09-16T06:00:00.000-04:00
Praetorian,https://app.joinhandshake.com/jobs/9115018,,,Full-Time,Offensive Security Engineer (Remote US),2024-07-16T08:58:21.891-04:00,2025-01-16T06:00:00.000-05:00,2024-07-16T06:00:00.000-04:00
Amazon,https://app.joinhandshake.com/jobs/9242246,,,Full-Time,Security Engineer Summer Internship – 2025 (US),2024-08-27T22:26:15.470-04:00,2025-04-30T09:00:00.000-04:00,2024-08-27T09:00:00.000-04:00
